artist_id,name,bio,album_ids
0,UNKNOWN,UNKNOWN,0
1,Eve6,Eve 6 is an American rock band formed in 1995 in Southern California,1&2
2,Fall Out Boy,Fall Out Boy is an American rock band formed in Wilmette Illinois a suburb of Chicago in 2001.,3
3,Lil Nas X,Montero Lamar Hill (born April 9 1999) known by his stage name Lil Nas X is an American rapper singer and songwriter.,4
